,serial_with_season,movie,serial_without_season
11143,0,5626,0
11144,14072,1488,0
11150,0,58,0
11151,0,14107,0
11155,0,4419,0
11156,0,419,0
11157,0,10,0
11158,0,20205,0
11168,0,7817,0
11174,0,1168,0
11175,0,368,0
11177,0,5530,0
11178,0,68,0
11179,0,1175,0
11181,0,2846,0
11182,31628,0,0
11196,0,20709,0
11206,0,91,0
11207,18,5186,0
11215,1610,0,0
11217,0,38890,0
11226,0,6313,0
11228,0,71,0
11229,0,19403,0
11232,242604,0,0
11328,0,64059,0
11342,0,28782,0
11347,0,464,0
11352,0,7368,0
11353,0,619,0
11355,1689,10476,0
11364,782,530,0
11366,0,15471,0
11371,0,5292,0
11372,12749,49,0
11381,0,6060,0
11383,0,1210,0
11384,0,5141,0
11386,0,6,0
11387,0,6328,0
11389,0,1733,0
